itemId,fieldId,subjectId,source,overallScore,vignetteQuality,highYieldValue,distractors,correctAnswerExplanation,integrationThinking,overallPolish,platformFit,polishScore,examReady,difficultySuggestion,topIssues,recommendations,tagsSuggestion,testedConcepts
cmpnjgtgb000u1ymxenaf2k0j,usmle-step-1,anatomy,polished,7.7,8.7,5.5,9.5,9,6.5,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 5.5/10).,histology; high-yield; usmle-polished; diagnosis; anatomy,histology; high-yield; diagnosis; anatomy
cmpnjgtnn000w1ymxjwzn1agd,usmle-step-1,anatomy,polished,7.7,8.7,5.5,9.5,9,6.5,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 5.5/10).,brachial plexus; high-yield; usmle-polished; diagnosis; anatomy,brachial plexus; high-yield; diagnosis; anatomy
cmpnjgttb000y1ymxtw9p41ns,usmle-step-1,anatomy,polished,7.9,10,5.5,9.5,9,7,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 5.5/10).,skin; high-yield; usmle-polished; pathophysiology; anatomy,skin; high-yield; pathophysiology; anatomy
cmpnjgtys00101ymxaqzp4xxc,usmle-step-1,physiology,polished,7.3,8.7,5.5,6.8,9,6.5,7,7.5,1.000,no,Medium,vignette_validation:warn|weak_distractors:warn,Priority: improve highYieldValue (scored 5.5/10).,cardiovascular; high-yield; usmle-polished; lab; physiology,cardiovascular; high-yield; lab; physiology
cmpnjgu1h00111ymxbbnxm0tp,usmle-step-1,physiology,polished,7.6,10,5.5,6.8,9,8,6.5,7.5,1.000,no,Medium,weak_distractors:warn|stem_lead_in:warn,Priority: improve highYieldValue (scored 5.5/10).,renal; high-yield; usmle-polished; lab; physiology,renal; high-yield; lab; physiology
cmpnjgu7g00131ymxyqu201at,usmle-step-1,physiology,polished,7.4,8.7,5.5,6.8,9,7,7,7.5,1.000,no,Medium,vignette_validation:warn|weak_distractors:warn,Priority: improve highYieldValue (scored 5.5/10).,endocrine; high-yield; usmle-polished; lab; physiology,endocrine; high-yield; lab; physiology
cmpnjguah00141ymxm71229x8,usmle-step-1,physiology,polished,7.3,8.7,5.5,6.8,9,7,6.5,7.5,1.000,no,Medium,vignette_validation:warn|weak_distractors:warn|stem_lead_in:warn,Priority: improve highYieldValue (scored 5.5/10).,neuro; high-yield; usmle-polished; lab; physiology,neuro; high-yield; lab; physiology
cmpnjgud300151ymxo0p5d0jv,usmle-step-1,physiology,polished,7.4,8.7,5.5,6.8,9,7,7,7.5,1.000,no,Medium,vignette_validation:warn|weak_distractors:warn,Priority: improve highYieldValue (scored 5.5/10).,respiratory; high-yield; usmle-polished; lab; physiology,respiratory; high-yield; lab; physiology
cmpnjgufu00161ymxztqf3gco,usmle-step-1,pathology,polished,7.9,8.7,6.5,9.5,9,7,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 6.5/10).,infection; high-yield; usmle-polished; complication; pathology,infection; high-yield; complication; pathology
cmpnjguof00191ymx639jdvfp,usmle-step-1,pathology,polished,7.8,8.7,6.5,9.5,9,6.5,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 6.5/10).,histology; high-yield; usmle-polished; complication; pathology,histology; high-yield; complication; pathology
cmpnjgur4001a1ymxuyv8iy6m,usmle-step-1,pathology,polished,7.9,8.7,6.5,9.5,9,7,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 6.5/10).,neoplasia; high-yield; usmle-polished; mechanism; pathology,neoplasia; high-yield; mechanism; pathology
cmpnjguze001d1ymxx8zwjnsc,usmle-step-1,pharmacology,polished,7.7,8.2,6.5,9.5,9,7,6.5,7.5,1.000,no,Medium,vignette_validation:warn|stem_lead_in:warn,Priority: improve highYieldValue (scored 6.5/10).,diabetes; high-yield; usmle-polished; pathophysiology; pharmacology,diabetes; high-yield; pathophysiology; pharmacology
cmpnjgvfa001i1ymxbkc2ijr0,usmle-step-1,biochemistry,polished,7.7,9.2,6.5,6.8,9,8,7,7.5,1.000,no,Medium,vignette_validation:warn|weak_distractors:warn,Priority: improve highYieldValue (scored 6.5/10).,metabolism; high-yield; usmle-polished; lab; biochemistry,metabolism; high-yield; lab; biochemistry
cmpnjgvlt001k1ymxx3hs1xu0,usmle-step-1,microbiology,polished,7.9,8.2,6.5,9.5,9,8,6.5,7.5,1.000,no,Medium,vignette_validation:warn|stem_lead_in:warn,Priority: improve highYieldValue (scored 6.5/10).,bacteriology; high-yield; usmle-polished; pathophysiology; microbiology,bacteriology; high-yield; pathophysiology; microbiology
cmpnjgvol001l1ymxjf6gsxto,usmle-step-1,microbiology,polished,7.9,8.7,6.5,9.5,9,7,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 6.5/10).,immunology; high-yield; usmle-polished; pathophysiology; microbiology,immunology; high-yield; pathophysiology; microbiology
cmpnjhj4z00461ymxbgipo9s5,usmle-step-1,anatomy,polished,7.9,10,4,9.5,9,8.5,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhj4z00471ymxepz3hbdd,usmle-step-1,anatomy,polished,7.6,8.2,4,9.5,9,8,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhj4z00481ymxca5vnpj4,usmle-step-1,anatomy,polished,7.8,10,4,9.5,9,8,6.5,7.5,1.000,no,Medium,stem_lead_in:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; pathophysiology; anatomy,pathophysiology; anatomy
cmpnjhj4z00491ymxgfcasc0b,usmle-step-1,anatomy,polished,7.7,10,4,9.5,9,7,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; diagnosis; anatomy,diagnosis; anatomy
