itemId,fieldId,subjectId,source,overallScore,vignetteQuality,highYieldValue,distractors,correctAnswerExplanation,integrationThinking,overallPolish,platformFit,polishScore,examReady,difficultySuggestion,topIssues,recommendations,tagsSuggestion,testedConcepts
cmpnjgtkm000v1ymxwedn7564,usmle-step-1,anatomy,polished,8.4,10,6,9.5,9,9.5,7,7.5,1.000,yes,Medium,,,upper limb; high-yield; usmle-polished; diagnosis; anatomy,upper limb; high-yield; diagnosis; anatomy
cmpnjgtq9000x1ymx03bfe1wj,usmle-step-1,anatomy,polished,8.2,10,6,9.5,9,8.5,7,7.5,1.000,yes,Medium,,,abdomen; high-yield; usmle-polished; diagnosis; anatomy,abdomen; high-yield; diagnosis; anatomy
cmpnjgtw0000z1ymx7n9ti8hw,usmle-step-1,anatomy,polished,8.3,10,5.5,9.5,9,9.5,7,7.5,1.000,yes,Medium,,,lower limb; high-yield; usmle-polished; mechanism; anatomy,lower limb; high-yield; mechanism; anatomy
cmpnjgu4i00121ymxegx0fv0l,usmle-step-1,physiology,polished,8.1,10,5.5,9.5,9,8,7,7.5,1.000,yes,Medium,,,respiratory; high-yield; usmle-polished; pathophysiology; physiology,respiratory; high-yield; pathophysiology; physiology
cmpnjguij00171ymxi3zl2bdl,usmle-step-1,pathology,polished,8,10,6.5,9.5,9,6.5,7,7.5,1.000,yes,Medium,,,hematology; high-yield; usmle-polished; complication; pathology,hematology; high-yield; complication; pathology
cmpnjgulh00181ymx331jzx1v,usmle-step-1,pathology,polished,8.1,10,6.5,9.5,9,7,7,7.5,1.000,yes,Medium,,,pulmonary; high-yield; usmle-polished; mechanism; pathology,pulmonary; high-yield; mechanism; pathology
cmpnjguts001b1ymxe7pjj11x,usmle-step-1,pharmacology,polished,8.4,10,6.5,9.5,9,9.5,7,7.5,1.000,yes,Medium,,,NSAID; high-yield; usmle-polished; mechanism; pharmacology,NSAID; high-yield; mechanism; pharmacology
cmpnjguwm001c1ymxohj1wa2o,usmle-step-1,pharmacology,polished,8.2,10,6.5,9.5,9,8,7,7.5,1.000,yes,Medium,,,anticoagulation; high-yield; usmle-polished; moa; pharmacology,anticoagulation; high-yield; moa; pharmacology
cmpnjgv2a001e1ymxuw6z6ljd,usmle-step-1,pharmacology,polished,8,10,6.5,9.5,9,6.5,7,7.5,1.000,yes,Medium,,,respiratory; high-yield; usmle-polished; moa; pharmacology,respiratory; high-yield; moa; pharmacology
cmpnjgv51001f1ymx1us2dzcd,usmle-step-1,pharmacology,polished,8.2,10,6.5,9.5,9,8,7,7.5,1.000,yes,Medium,,,toxicology; high-yield; usmle-polished; mechanism; pharmacology,toxicology; high-yield; mechanism; pharmacology
cmpnjgv7x001g1ymxv1tadxpu,usmle-step-1,biochemistry,polished,8.2,10,6.5,9.5,9,8,7,7.5,1.000,yes,Medium,,,metabolism; high-yield; usmle-polished; mechanism; biochemistry,metabolism; high-yield; mechanism; biochemistry
cmpnjgvbh001h1ymxexc9z235,usmle-step-1,biochemistry,polished,8.1,10,6.5,9.5,9,7,7,7.5,1.000,yes,Medium,,,genetics; high-yield; usmle-polished; mechanism; biochemistry,genetics; high-yield; mechanism; biochemistry
cmpnjgvj1001j1ymx7y7a3bpk,usmle-step-1,biochemistry,polished,8.1,10,6.5,9.5,9,7,7,7.5,1.000,yes,Medium,,,lipids; high-yield; usmle-polished; mechanism; biochemistry,lipids; high-yield; mechanism; biochemistry
cmpnjgvu1001m1ymxzcqrjlqt,usmle-step-1,microbiology,polished,8.1,10,6.5,9.5,9,7,7,7.5,1.000,yes,Medium,,,virology; high-yield; usmle-polished; diagnosis; microbiology,virology; high-yield; diagnosis; microbiology
